# Phase 02 / Cycle 1 — Citation Verification Log
# Persona: Source-Citation Verifier (Sonnet 4.6)
# Date: 2026-05-29
# Frozen SHA: d0a4ed4ec1770c70707f68fd9019f2b561d87461
# v2.0.0 tag SHA: 97e845ac3e455ae922ae80a4b74f7692f494a119

# Verification posture: Option B — JSX citations remain in source; rendered
# output is clean by construction (MDX JSX comments are not emitted to HTML).
# Confirmed zero hits in dist/release-notes/ pages (see build-exclusion section).

# Line format:
# <docs-file>:<line> | <sha-or-tag> | <cited-path>:<L-range> | <status> | <note>

# ============================================================
# SECTION 1 — index.mdx (5 citations, all verified)
# ============================================================

index.mdx:12 | d0a4ed4 | CHANGELOG.md:L1-L7 | resolve | L1-L7 is the "# Changelog" header + Keep-a-Changelog + SemVer declaration; prose says "the framework follows Keep a Changelog / SemVer", matches.

index.mdx:27 | d0a4ed4 | CHANGELOG.md@frozen-SHA:L40 | resolve | L40: "## [2.3.0] - 2026-05-25" — matches release date 2026-05-25 in the table row.

index.mdx:28 | d0a4ed4 | CHANGELOG.md@frozen-SHA:L581 | resolve | L581: "## [2.2.0] - 2026-05-02" — matches release date 2026-05-02 in the table row.

index.mdx:29 | d0a4ed4 | CHANGELOG.md@frozen-SHA:L999 | resolve | L999: "## [2.1.0] - 2026-03-30" — matches release date 2026-03-30 in the table row.

index.mdx:30 | v2.0.0 | CHANGELOG.md@v2.0.0:L10 | resolve | L10: "## [2.0.0] - 2026-03-02" — matches release date 2026-03-02 in the table row.

# ============================================================
# SECTION 2 — v2-0.mdx (7 citations, all verified)
# ============================================================

v2-0.mdx:14 | v2.0.0 | CHANGELOG.md@v2.0.0:L10 | resolve | L10: "## [2.0.0] - 2026-03-02" — prose states "FraiseQL v2.0.0 stable shipped on 2026-03-02", matches.

v2-0.mdx:40 | v2.0.0 | CHANGELOG.md@v2.0.0:L13-L21 | resolve | L13-L21: cross-SDK parity test suite bullet (5100+ tests, golden fixtures) + integration test infra. Prose claims "5 100+ tests across six SDKs … golden-fixture regression guards". Content matches.

v2-0.mdx:47 | v2.0.0 | CHANGELOG.md@v2.0.0:L20-L25 | resolve | L20-L25: integration tests + testcontainers watchdog (all 177 previously-ignored tests, SIGTERM/SIGINT cleanup). Prose matches (slight overlap with previous citation at L20 — both acceptable for content coverage).

v2-0.mdx:56 | v2.0.0 | CHANGELOG.md@v2.0.0:L28-L33 | resolve | L28-L33: per-user rate limiting fix; check_user_limit never called, sub claim extraction, per-user token bucket, rps_per_user 10× rps_per_ip. Prose matches exactly.

v2-0.mdx:62 | v2.0.0 | CHANGELOG.md@v2.0.0:L34-L39 | resolve | L34-L39: proxy-aware IP extraction; trust_proxy_headers boolean; X-Real-IP / X-Forwarded-For. Prose matches exactly.

v2-0.mdx:80 | v2.0.0 | CHANGELOG.md@v2.0.0:L26-L68 | resolve | L26-L68: entire Fixed section (Retry-After, cookie charset, Set-Cookie omission, __Host- prefix, Max-Age, redirect_uri cap, OIDC error sanitisation, rustdoc warnings). All 8 rows in the prose table have corresponding entries. Matches.

v2-0.mdx:90 | v2.0.0 | CHANGELOG.md@v2.0.0:L53-L55 | resolve | L53-L55: "__Host- cookie prefix" bullet — cookie renamed from access_token to __Host-access_token, mandates Secure/Path=/. Prose breaking-changes section matches.

# ============================================================
# SECTION 3 — v2-1.mdx (40 citations; 27 fully verified)
# Stratified sample: all of v2.1.0 header + all patch citations + breaking/deprecation set.
# Skipped: 13 mid-body citations where surrounding context was confirmed by section read.
# ============================================================

# --- v2.1.0 release header ---
v2-1.mdx:16 | d0a4ed4 | CHANGELOG.md@frozen-SHA:L999 | resolve | L999: "## [2.1.0] - 2026-03-30" — intro prose states "v2.1.0 shipped on 2026-03-30". Matches.

v2-1.mdx:17 | d0a4ed4 | CHANGELOG.md@frozen-SHA:L714 | resolve | L714: "## [2.1.6] - 2026-04-14" — intro prose references six patch versions including v2.1.6. Matches.

